Course,URL,instructor,Price (full),Price (discount),Rank,Instructor URL,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Adobe Bridge CC and Adobe Camera Raw for Beginners,www.udemy.com/course/adobe-bridge-cc-and-adobe-camera-raw-for-beginners/,Sandy Dee,£104.99,£12.99,Rating: 4.2 out of 54.2 - (37),"[(/user/sandydee/, Sandy Dee)]",Photography,Photography Tools,Adobe Camera Raw,"1,206",English,Organize and Enhance Your Images with Adobe Photoshop's Free Inbuilt Catalog System and Powerful Editing Tool (ACR),10/2018,01/27/20
Nude Art & Lingerie Portraiture with Off Camera Flash,www.udemy.com/course/nude-art-lingerie-portraiture-with-off-camera-flash/,Mauro Prelli,£194.99,£12.99,Rating: 3.9 out of 53.9 - (64),"[(/user/mauro-prelli/, Mauro Prelli)]",Photography,Portraits,Cameras,"1,555",English,"Manage Female Model to get emotional images, using studio and location off camera flashes. Elegant and sensual nude art.",3/2016,01/27/20
Learn All About Creating Subtitles (SRT) and Closed-Captions,www.udemy.com/course/learn-all-about-creating-subtitles-and-closed-captions/,‫Ali Desoki,£19.99,£11.99,Rating: 4.2 out of 54.2 - (64),"[(/user/alidesoki/, ‫Ali Desoki)]",Photography,Video Design,Video Editing,503,English,Become Professional in Generating Subtitles and Closed Caption To Use it As a freelancing Skill And Increase SEO Rank,11/2017,01/27/20
Architectural Photography - An Artistic Analysis,www.udemy.com/course/architectural-photography-an-artistic-analysis/,James Macdonald,£44.99,£12.99,Rating: 3.7 out of 53.7 - (25),"[(/user/james-macdonald-2/, James Macdonald)]",Photography,Other,Architecture Photography,587,English,Artistic considerations that go into creating beautiful architectural photographs.,5/2018,01/27/20
How to Edit Photos Like a Pro With Your Smartphone,www.udemy.com/course/iphone-editing/,Sean Dalton Dalton,"₩110,000","₩13,200",Rating: 4.5 out of 54.5 - (10),"[(/user/sean-dalton-10/, Sean Dalton Dalton)]",Photography,Photography Fundamentals,Photography,63,English,Create Stunning Edits on your iPhone or Similar Device using Adobe Lightroom Mobile CC,3/2019,01/27/20
Macphun's Luminar 2018 (Best Photo Editor),www.udemy.com/course/macphuns-luminar-2018-best-photo-editor/,Sakshain Aleek,"₩22,000","₩13,200",Rating: 3.7 out of 53.7 - (45),"[(/user/aleek-sen-2/, Sakshain Aleek)]",Photography,Photography Tools,Image Editing,"3,709",English,Deep Dive Tutorials,7/2018,01/27/20
Off Camera Flash For Food and Product Photography,www.udemy.com/course/off-camera-flash-for-food-and-product-photography/,Tracey Ayre,"₩22,000","₩13,200",Rating: 4.1 out of 54.1 - (6),"[(/user/tracey-ayre-2/, Tracey Ayre)]",Photography,Photography Tools,Food Photography,224,English,Includes Food Styling and Setting up a Budget Home Studio,1/2020,01/27/20
Indie Filmmaking Bootcamp: Budget & Schedule Like a Pro,www.udemy.com/course/filmmaking-screenwriting-budget-schedule-masterclass/,"IFH Courses, Benjamin O Yennie","₩192,500","₩13,200",Rating: 4.1 out of 54.1 - (8),"[(/user/b01ab0b4-4a3a-4f94-938c-92782a241d76/, IFH Courses), (/user/benjamin-o-yennie/, Benjamin O Yennie)]",Photography,Video Design,Documentary Filmmaking,"1,174",English,Learn from Tim Burton's UPM How to Breakdown a Screenplay & Create a Professional Schedule & Budget for Your Filmmaking,5/2019,01/27/20
Advanced Lightroom & Photoshop CC for Wildlife Photography,www.udemy.com/course/advanced-lightroom-photoshop-wildlife-photography/,Mark Dumbleton,"₩27,500","₩13,200",Rating: 4.2 out of 54.2 - (31),"[(/user/mark-dumbleton-2/, Mark Dumbleton)]", Photography,Other,Adobe Lightroom,159,English,Learn to master Adobe Lightroom and Photoshop CC for Wildlife Photography,2/2018,01/27/20
PhotoDirector 8 - Photo Editing Made Easy,www.udemy.com/course/photodirector/,"Phil Ebiner, CyberLink Software, Video School Online Inc","₩110,000","₩13,200",Rating: 4.4 out of 54.4 - (150),"[(/user/philipebiner2/, Phil Ebiner), (/user/552c8b032c30b/, CyberLink Software), (/user/phil-ebiner/, Video School Online Inc)]",Photography,Photography Tools,PhotoDirector 8,703,English,Learn how to edit professional photographs on Mac or PC with this Cyberlink PhotoDirector Complete Tutorial Course!,3/2019,01/27/20
